"unigram","bigram","trigram","freq"
"because","it","is",20
"in","my","life",20
"more","and","more",20
"the","idea","of",20
"the","middle","of",20
"up","in","the",20
"would","be","a",20
"a","long","time",19
"and","this","is",19
"are","going","to",19
"as","part","of",19
"as","soon","as",19
"based","on","the",19
"but","i","dont",19
"cant","wait","to",19
"even","though","i",19
"for","a","while",19
"i","am","a",19
"i","hope","you",19
"it","in","the",19
"that","you","can",19
"the","back","of",19
"the","new","york",19
"the","other","hand",19
"to","be","in",19
"to","take","a",19
"a","group","of",18
"a","sense","of",18
"and","i","dont",18
"and","it","is",18
"as","i","was",18
"didnt","want","to",18
"do","you","think",18
"go","to","the",18
"he","was","a",18
"i","have","no",18
"i","know","that",18
"in","the","end",18
"is","a","great",18
"it","has","been",18
"looking","forward","to",18
"me","and","i",18
"of","my","life",18
"out","in","the",18
"seem","to","be",18
"that","they","are",18
"the","beginning","of",18
"the","bottom","of",18
"the","last","time",18
"the","name","of",18
"to","do","it",18
"a","piece","of",17
"a","way","to",17
"as","a","result",17
"at","this","point",17
"away","from","the",17
"have","to","say",17
"i","am","going",17
"i","thought","it",17
"i","tried","to",17
"i","was","going",17
"i","went","to",17
"if","i","had",17
"in","new","york",17
"it","can","be",17
"it","to","the",17
"it","was","not",17
"members","of","the",17
"of","the","best",17
"out","of","my",17
"that","he","was",17
"that","i","would",17
"the","kind","of",17
"to","talk","about",17
"well","as","the",17
"went","to","the",17
"what","to","do",17
"with","all","the",17
"you","will","be",17
"a","few","days",16
"a","few","of",16
"a","handful","of",16
"a","part","of",16
"all","the","time",16
"am","going","to",16
"and","i","think",16
"and","in","the",16
"at","the","moment",16
"be","in","the",16
"by","the","time",16
"came","up","with",16
"front","of","the",16
"have","no","idea",16
"i","am","so",16
"i","could","have",16
"i","didnt","have",16
"in","the","same",16
"is","that","the",16
"it","would","have",16
"look","at","the",16
"needs","to","be",16
"new","york","city",16
"not","going","to",16
"some","kind","of",16
"some","of","my",16
"that","i","can",16
"that","is","the",16
"the","only","thing",16
"the","size","of",16
"this","is","not",16
"to","look","at",16
"to","make","it",16
"to","see","if",16
"was","a","little",16
"was","in","the",16
"was","one","of",16
"we","went","to",16
"a","picture","of",15
"all","over","the",15
"along","with","the",15
"and","a","half",15
"as","far","as",15
"as","it","is",15
"but","i","have",15
"for","the","next",15
"i","have","had",15
"i","needed","to",15
"i","was","in",15
"i","would","like",15
"in","love","with",15
"is","not","the",15
"let","me","know",15
"may","not","be",15
"much","as","i",15
"not","to","mention",15
"of","the","book",15
"of","the","year",15
"one","of","them",15
"out","to","be",15
"so","i","can",15
"that","he","is",15
"the","idea","that",15
"the","last","few",15
"the","next","day",15
"there","was","no",15
"to","have","to",15
"to","see","how",15
"trying","to","get",15
"a","look","at",14
"all","of","this",14
"and","of","course",14
"at","a","time",14
"be","sure","to",14
"but","i","am",14
"by","the","way",14
"dont","know","what",14
"for","me","i",14
"for","some","reason",14
"for","those","of",14
"has","been","a",14
"have","a","great",14
"here","is","a",14
"here","is","the",14
"i","did","not",14
"i","dont","like",14
"i","like","the",14
"i","like","to",14
"i","think","it",14
"i","try","to",14
"i","was","able",14
"i","would","be",14
"if","there","is",14
"is","to","be",14
"it","could","be",14
"it","may","be",14
"it","was","just",14
"of","all","the",14
"of","one","of",14
"of","the","day",14
"of","the","first",14
"on","top","of",14
"over","and","over",14
"that","i","dont",14
"that","this","is",14
"the","side","of",14
"the","use","of",14
"the","way","to",14
"there","are","a",14
"this","is","my",14
"this","is","what",14
"this","was","a",14
"to","be","more",14
"to","do","a",14
"to","do","so",14
"to","see","what",14
"to","take","the",14
"was","the","first",14
"we","had","a",14
"we","have","a",14
"we","need","to",14
"which","is","a",14
"will","be","a",14
"a","bunch","of",13
"a","few","more",13
"a","few","things",13
"a","few","years",13
"a","good","thing",13
"a","result","of",13
"a","series","of",13
"all","the","way",13
"and","you","can",13
"are","a","few",13
"being","able","to",13
"but","then","i",13
"but","there","are",13
"come","up","with",13
"for","the","last",13
"going","to","do",13
"have","been","a",13
"have","to","do",13
"i","didnt","want",13
"i","have","made",13
"i","love","the",13
"i","should","have",13
"in","the","area",13
"in","the","city",13
"is","a","very",13
"is","the","most",13
"of","the","season",13
"of","the","way",13
"over","the","last",13
"part","of","a",13
"so","i","have",13
"so","that","i",13
"so","you","can",13
"supposed","to","be",13
"that","they","were",13
"the","age","of",13
"the","best","way",13
"the","life","of",13
"the","most","important",13
"the","opportunity","to",13
"the","power","of",13
"these","are","the",13
"to","be","able",13
"to","figure","out",13
"to","find","out",13
"to","get","to",13
"to","make","the",13
"to","think","about",13
"to","try","and",13
"to","work","on",13
"up","to","the",13
"used","to","be",13
"you","know","that",13
"a","copy","of",12
"a","few","minutes",12
"a","few","times",12
"a","hard","time",12
"a","lot","more",12
"and","i","really",12
"around","the","world",12
"at","the","top",12
"back","of","the",12
"because","i","was",12
"because","they","are",12
"bottom","of","the",12
"but","they","are",12
"check","it","out",12
"close","to","the",12
"could","have","been",12
"do","not","have",12
"dont","have","to",12
"every","time","i",12
"for","me","and",12
"for","the","rest",12
"for","those","who",12
"give","it","a",12
"going","to","have",12
"have","a","few",12
"how","much","i",12
"i","cant","wait",12
"i","didnt","even",12
"i","have","never",12
"i","made","a",12
"i","started","to",12
"if","i","have",12
"in","my","head",12
"in","terms","of",12
"in","the","future",12
"in","the","house",12
"in","the","us",12
"in","the","way",12
"is","a","good",12
"is","such","a",12
"is","that","i",12
"is","that","it",12
"it","on","the",12
"it","seems","that",12
"it","to","be",12
"it","was","time",12
"look","forward","to",12
"looking","at","the",12
"looking","for","a",12
"no","matter","what",12
"of","course","i",12
"of","the","new",12
"of","the","same",12
"of","the","time",12
"or","at","least",12
"out","on","the",12
"seems","to","have",12
"that","is","what",12
"that","she","was",12
"that","they","have",12
"that","we","have",12
"that","you","are",12
"the","world","is",12
"they","have","a",12
"those","of","you",12
"those","who","have",12
"to","be","an",12
"to","do","that",12
"to","find","a",12
"to","get","my",12
"to","get","out",12
"to","go","back",12
"to","have","the",12
"to","keep","the",12
"to","make","sure",12
"to","me","and",12
"to","pick","up",12
"up","with","the",12
"was","a","great",12
"we","have","been",12
"what","is","the",12
"whether","or","not",12
"will","be","the",12
"would","have","to",12
"a","bit","more",11
"a","way","of",11
"again","and","again",11
"all","kinds","of",11
"and","as","a",11
"and","has","been",11
"and","i","cant",11
"and","i","had",11
"and","i","just",11
"and","i","know",11
"and","one","of",11
"and","that","is",11
"and","that","was",11
"and","then","i",11
"and","there","are",11
"and","when","i",11
"any","of","the",11
"because","it","was",11
"but","there","is",11
"can","be","found",11
"couple","of","weeks",11
"do","you","have",11
"dont","know","why",11
"down","to","the",11
"early","in","the",11
"first","time","i",11
"for","all","the",11
"for","the","most",11
"get","out","of",11
"going","to","get",11
"had","to","be",11
"how","do","you",11
"i","am","sure",11
"i","can","see",11
"i","feel","like",11
"i","go","to",11
"i","guess","i",11
"i","had","never",11
"i","was","so",11
"if","i","can",11
"if","you","havent",11
"in","a","way",11
"in","addition","to",11
"in","the","face",11
"in","the","kitchen",11
"involved","in","the",11
"is","a","little",11
"is","that","they",11
"it","and","i",11
"it","looks","like",11
"it","seems","to",11
"it","turns","out",11
"its","been","a",11
"its","time","to",11
"know","how","to",11
"me","that","i",11
"middle","of","the",11
"might","not","be",11
"my","life","i",11
"need","to","get",11
"no","matter","how",11
"of","course","the",11
"of","the","week",11
"on","the","way",11
"people","in","the",11
"she","was","a",11
"since","i","was",11
"some","of","them",11
"such","as","the",11
"thank","you","for",11
"thanks","to","the",11
"that","is","not",11
"that","it","would",11
"that","we","were",11
"that","you","have",11
"the","best","of",11
"the","face","of",11
"the","meaning","of",11
"the","possibility","of",11
"the","right","to",11
"the","same","as",11
"the","time","i",11
"the","time","of",11
"the","university","of",11
"the","way","i",11
"this","is","just",11
"thought","i","would",11
"to","be","honest",11
"to","create","a",11
"to","deal","with",11
"to","give","it",11
"to","say","i",11
"to","use","the",11
"version","of","the",11
"want","to","get",11
"was","a","good",11
"was","not","a",11
"we","are","all",11
"would","love","to",11
"you","are","a",11
"a","bit","and",10
"a","really","good",10
"all","of","us",10
"and","a","few",10
"and","i","are",10
"are","trying","to",10
"but","if","you",10
"but","in","the",10
"can","see","the",10
"check","out","the",10
"couple","of","years",10
"do","not","know",10
"do","with","the",10
"for","a","couple",10
"for","a","long",10
"for","it","to",10
"for","them","to",10
"had","to","go",10
"has","to","be",10
"have","to","go",10
"have","tried","to",10
"he","wanted","to",10
"here","are","the",10
"i","am","the",10
"i","cant","believe",10
"i","dont","really",10
"i","got","the",10
"i","got","to",10
"i","had","been",10
"i","hope","to",10
"i","just","cant",10
"i","think","the",10
"i","think","this",10
"i","wish","i",10
"i","would","love",10
"if","you","like",10
"in","fact","i",10
"in","the","background",10
"in","the","front",10
"in","the","united",10
"in","this","case",10
"is","filled","with",10
"is","the","first",10
"is","what","i",10
"it","as","a",10
"it","in","a",10
"it","is","to",10
"it","should","be",10
"it","turned","out",10
"just","a","few",10
"just","have","to",10
"me","to","the",10
"more","of","a",10
"my","husband","and",10
"next","to","the",10
"nothing","to","do",10
"of","the","night",10
"of","those","who",10
"on","its","own",10
"on","the","same",10
"on","the","side",10
"on","to","the",10
"one","of","his",10
"quite","a","bit",10
"she","is","the",10
"so","i","was",10
"so","it","is",10
"so","much","fun",10
"that","i","didnt",10
"that","there","is",10
"that","would","be",10
"the","edge","of",10
"the","first","place",10
"the","holy","spirit",10
"the","majority","of",10
"the","only","one",10
"the","past","few",10
"the","point","of",10
"the","process","of",10
"the","time","to",10
"them","in","the",10
"there","is","nothing",10
"this","morning","i",10
"those","of","us",10
"thought","it","was",10
"thought","it","would",10
"time","it","was",10
"to","do","the",10
"to","get","back",10
"to","get","it",10
"to","get","some",10
"to","give","up",10
"to","me","i",10
"to","try","to",10
"up","for","the",10
"wanted","to","be",10
"wanted","to","go",10
"way","to","the",10
"we","are","not",10
"we","had","to",10
"well","as","a",10
"were","going","to",10
"will","continue","to",10
"with","all","of",10
"would","not","be",10
"you","can","also",10
"you","can","find",10
"you","dont","have",10
"you","so","much",10
"you","would","like",10
"a","few","months",9
"a","great","deal",9
"a","little","too",9
"a","man","who",9
"a","mix","of",9
"a","total","of",9
"a","week","and",9
"able","to","get",9
"about","it","and",9
"all","of","these",9
"all","sorts","of",9
"an","attempt","to",9
"and","for","the",9
"and","have","a",9
"and","he","was",9
"and","i","can",9
"and","i","do",9
"and","if","you",9
"and","so","on",9
"and","then","we",9
"and","there","is",9
"and","they","are",9
"anyone","who","is",9
"are","supposed","to",9
"as","it","was",9
"at","least","one",9
"at","the","bottom",9
"back","in","the",9
"back","to","my",9
"be","used","to",9
"best","way","to",9
"bit","of","a",9
"but","i","was",9
"but","we","are",9
"do","you","want",9
"feel","like","i",9
"few","weeks","ago",9
"for","at","least",9
"front","of","me",9
"give","you","the",9
"half","of","the",9
"happens","to","be",9
"have","a","good",9
"he","has","a",9
"he","has","been",9
"he","is","the",9
"here","we","go",9
"i","am","just",9
"i","can","get",9
"i","could","not",9
"i","did","a",9
"i","didnt","know",9
"i","do","have",9
"i","find","it",9
"i","got","a",9
"i","have","done",9
"i","love","my",9
"i","love","this",9
"i","might","have",9
"i","think","its",9
"i","used","to",9
"i","was","looking",9
"i","will","never",9
"if","i","could",9
"if","i","was",9
"if","it","is",9
"if","it","was",9
"in","a","few",9
"in","a","while",9
"in","my","mind",9
"in","my","opinion",9
"in","search","of",9
"in","the","case",9
"in","the","name",9
"in","the","th",9
"in","which","the",9
"is","a","bit",9
"is","based","on",9
"is","part","of",9
"it","for","the",9
"it","had","been",9
"it","is","so",9
"it","might","be",9
"it","was","an",9
"it","was","like",9
"it","was","very",9
"it","with","a",9
"just","a","little",9
"just","going","to",9
"learn","how","to",9
"made","it","to",9
"me","when","i",9
"member","of","the",9
"needless","to","say",9
"not","so","much",9
"now","i","know",9
"of","the","great",9
"of","the","other",9
"of","the","two",9
"of","the","united",9
"of","this","blog",9
"of","us","who",9
"of","which","i",9
"off","to","the",9
"on","my","blog",9
"on","the","back",9
"on","the","ground",9
"on","the","top",9
"once","in","a",9
"out","of","a",9
"out","of","town",9
"over","the","past",9
"part","of","me",9
"reminded","me","of",9
"she","wanted","to",9
"so","i","am",9
"so","if","you",9
"so","that","the",9
"some","sort","of",9
"take","a","look",9
"that","i","could",9
"that","i","will",9
"that","we","had",9
"that","you","dont",9
"the","book","is",9
"the","case","of",9
"the","course","of",9
"the","first","thing",9
"the","front","of",9
"the","history","of",9
"the","importance","of",9
"the","last","of",9
"the","most","part",9
"the","one","that",9
"the","other","day",9
"the","other","side",9
"the","presence","of",9
"the","price","of",9
"the","problem","is",9
"the","saab","x",9
"the","th","century",9
"the","time","you",9
"the","way","it",9
"they","are","a",9
"they","are","the",9
"they","do","not",9
"this","kind","of",9
"those","who","are",9
"to","become","a",9
"to","buy","a",9
"to","come","up",9
"to","do","something",9
"to","ensure","that",9
"to","enter","the",9
"to","know","the",9
"to","me","that",9
"to","see","that",9
"to","talk","to",9
"to","the","fact",9
"to","the","new",9
"to","those","who",9
"top","of","the",9
"up","and","down",9
"up","in","a",9
"want","to","do",9
"wanted","to","do",9
"went","back","to",9
"what","it","is",9
"when","i","am",9
"when","i","saw",9
"when","she","was",9
"while","i","was",9
"who","have","been",9
"with","each","other",9
"would","be","to",9
"you","are","not",9
"you","can","get",9
"you","know","the",9
"you","know","what",9
"a","great","time",8
"a","place","to",8
"a","whole","lot",8
"according","to","a",8
"after","a","few",8
"alcohol","clin","exp",8
"all","of","my",8
"all","of","that",8
"an","opportunity","to",8
"and","all","of",8
"and","decided","to",8
"and","i","could",8
"and","im","not",8
"and","it","has",8
"and","lots","of",8
"and","on","the",8
"and","she","was",8
"and","that","he",8
"and","the","next",8
"and","there","was",8
"and","we","are",8
"and","you","have",8
"as","a","child",8
"as","a","whole",8
"as","i","can",8
"as","one","of",8
"at","least","a",8
"be","on","the",8
"because","i","dont",8
"because","i","have",8
"been","able","to",8
"been","in","the",8
"but","at","least",8
"but","i","do",8
"but","i","think",8
"can","only","be",8
"chance","to","win",8
"clin","exp","res",8
"come","to","the",8
"couple","of","days",8
"cup","of","tea",8
"dont","know","how",8
"during","the","day",8
"each","other","and",8
"fact","that","the",8
"for","so","long",8
"for","that","matter",8
"gave","me","a",8
"get","back","to",8
"get","in","the",8
"grew","up","in",8
"he","did","not",8
"he","had","a",8
"here","are","a",8
"how","do","we",8
"i","absolutely","love",8
"i","felt","like",8
"i","found","myself",8
"i","had","no",8
"i","had","the",8
"i","have","the",8
"i","love","it",8
"i","love","that",8
"i","love","you",8
"i","saw","a",8
"i","should","be",8
"i","think","he",8
"i","used","a",8
"i","was","not",8
"i","wonder","if",8
"i","would","say",8
"if","you","can",8
"if","you","would",8
"in","one","of",8
"in","the","dark",8
"in","the","fridge",8
"in","the","next",8
"in","the","second",8
"in","the","year",8
"in","to","the",8
"included","in","the",8
"is","a","big",8
"is","all","about",8
"is","how","i",8
"is","supposed","to",8
"is","the","one",8
"it","and","it",8
"it","seems","like",8
"it","was","great",8
"it","was","in",8
"it","was","nice",8
"it","was","one",8
"it","was","only",8
"it","was","so",8
"its","going","to",8
"just","wanted","to",8
"known","as","the",8
"leave","a","comment",8
"lot","of","time",8
"me","in","the",8
"men","and","women",8
"might","as","well",8
"most","of","them",8
"much","more","than",8
"much","of","the",8
"never","heard","of",8
"new","york","times",8
"no","idea","what",8
"not","the","only",8
"of","the","house",8
"of","the","story",8
"of","time","and",8
"on","the","first",8
"on","the","floor",8
"on","the","internet",8
"one","of","our",8
"out","how","to",8
"out","to","the",8
"over","the","place",8
"paintball","marker","repair",8
"parts","of","the",8
"people","who","have",8
"right","now","i",8
"said","it","was",8
"say","that","i",8
"seemed","to","be",8
"should","be","a",8
"so","i","could",8
"so","it","was",8
"so","that","we",8
"talk","about","the",8
"thank","you","so",8
"that","he","had",8
"that","may","be",8
"that","she","is",8
"that","there","are",8
"that","there","was",8
"that","we","are",8
"the","amount","of",8
"the","chance","to",8
"the","city","of",8
"the","entire","time",8
"the","first","week",8
"the","heart","of",8
"the","lack","of",8
"the","paintball","marker",8
"the","people","who",8
"the","role","of",8
"the","same","thing",8
"the","son","of",8
"the","story","of",8
"the","things","i",8
"the","time","and",8
"the","way","that",8
"the","whole","thing",8
"the","world","and",8
"there","are","some",8
"there","is","an",8
"there","is","the",8
"there","were","no",8
"they","are","not",8
"they","have","been",8
"things","that","i",8
"this","is","an",8
"this","is","one",8
"this","was","the",8
"to","be","at",8
"to","believe","that",8
"to","check","out",8
"to","come","to",8
"to","get","into",8
"to","go","and",8
"to","go","out",8
"to","help","you",8
"to","leave","the",8
"to","listen","to",8
"to","make","some",8
"to","make","this",8
"to","me","as",8
"to","put","the",8
"to","say","the",8
"to","tell","you",8
"to","the","next",8
"to","worry","about",8
"to","write","a",8
"turned","out","to",8
"up","on","the",8
"waiting","for","the",8
"want","to","know",8
"want","to","see",8
"was","a","very",8
"was","trying","to",8
"we","were","all",8
"went","to","a",8
"when","he","was",8
"when","i","get",8
"will","be","able",8
"will","have","a",8
"wish","i","could",8
"with","a","new",8
"with","me","i",8
"work","on","the",8
"would","be","better",8
"would","be","the",8
"year","in","the",8
"years","old","and",8
"you","will","find",8
"a","bottle","of",7
"a","combination","of",7
"a","few","hours",7
"a","great","way",7
"a","kind","of",7
"a","lot","about",7
"a","member","of",7
"a","pair","of",7
"a","time","when",7
"a","ton","of",7
"a","variety","of",7
"all","in","all",7
"all","of","which",7
"all","the","other",7
"along","the","way",7
"an","example","of",7
"and","a","couple",7
"and","all","the",7
"and","even","though",7
"and","how","much",7
"and","i","hope",7
"and","i","went",7
"and","if","they",7
"and","im","sure",7
"and","that","i",7
"and","the","rest",7
"and","they","were",7
"and","want","to",7
"and","wanted","to",7
"and","with","the",7
"appears","to","be",7
"are","not","the",7
"are","plenty","of",7
"as","i","am",7
"as","i","do",7
"at","the","beginning",7
"at","this","time",7
"be","a","good",7
"black","and","white",7
"but","for","the",7
"but","i","can",7
"but","i","did",7
"but","i","didnt",7
"but","i","just",7
"but","i","will",7
"can","be","a",7
"can","be","used",7
"closer","to","the",7
"copy","of","the",7
"day","of","the",7
"decided","to","do",7
"did","you","know",7
"didnt","have","a",7
"didnt","have","to",7
"do","have","a",7
"dont","have","the",7
"dont","know","about",7
"down","the","street",7
"each","and","every",7
"edge","of","the",7
"even","if","it",7
"even","though","the",7
"fact","that","i",7
"family","and","friends",7
"for","a","second",7
"for","most","of",7
"for","stopping","by",7
"for","the","past",7
"for","the","same",7
"for","us","to",7
"for","use","in",7
"from","the","first",7
"get","a","little",7
"get","to","see",7
"give","them","a",7
"had","to","do",7
"hall","of","fame",7
"has","not","been",7
"have","a","lot",7
"have","been","an",7
"have","been","the",7
"have","the","time",7
"have","yet","to",7
"have","you","ever",7
"he","is","a",7
"he","said","he",7
"he","was","just",7
"here","are","some",7
"husband","and","i",7
"i","am","also",7
"i","am","really",7
"i","began","to",7
"i","can","tell",7
"i","cant","say",7
"i","chose","to",7
"i","did","it",7
"i","ended","up",7
"i","find","myself",7
"i","found","the",7
"i","have","ever",7
"i","have","tried",7
"i","havent","been",7
"i","kind","of",7
"i","know","the",7
"i","looked","at",7
"i","love","to",7
"i","made","the",7
"i","may","have",7
"i","really","like",7
"i","said","i",7
"i","thought","id",7
"i","thought","that",7
"i","used","the",7
"i","was","thinking",7
"i","would","never",7
"if","he","was",7
"im","not","going",7
"im","talking","about",7
"in","a","row",7
"in","a","small",7
"in","charge","of",7
"in","my","own",7
"in","other","words",7
"in","south","africa",7
"in","the","back",7
"in","the","book",7
"in","the","comments",7
"in","the","meantime",7
"in","the","new",7
"in","the","other",7
"in","the","uk",7
"is","a","huge",7
"is","also","a",7
"is","exactly","what",7
"is","in","the",7
"is","no","longer",7
"is","on","the",7
"is","the","best",7
"it","and","the",7
"it","did","not",7
"it","is","also",7
"it","is","important",7
"it","is","my",7
"it","is","only",7
"it","is","still",7
"it","is","very",7
"it","out","and",7
"its","just","a",7
"its","not","a",7
"its","not","the",7
"know","why","i",7
"like","i","have",7
"like","to","have",7
"little","bit","of",7
"live","in","a",7
"made","a","mistake",7
"majority","of","the",7
"make","up","for",7
"makes","me","feel",7
"many","of","them",7
"may","not","have",7
"may","or","may",7
"me","a","little",7
"me","i","am",7
"might","have","been",7
"million","in","the",7
"more","like","a",7
"much","of","a",7
"my","family","and",7
"name","of","the",7
"need","to","do",7
"none","of","the",7
"none","of","them",7
"not","in","the",7
"not","the","same",7
"nothing","more","than",7
"of","it","and",7
"of","it","i",7
"of","my","favorites",7
"of","my","own",7
"of","people","who",7
"of","the","american",7
"of","the","few",7
"of","the","lord",7
"of","the","month",7
"of","the","movie",7
"of","the","s",7
"of","the","things",7
"of","the","word",7
"of","their","own",7
"of","weeks","ago",7
"of","you","who",7
"on","his","own",7
"on","how","to",7
"on","our","way",7
"on","the","couch",7
"on","the","front",7
"on","their","own",7
"on","this","blog",7
"once","or","twice",7
"one","of","their",7
"one","of","these",7
"or","may","not",7
"over","at","the",7
"part","of","this",7
"past","few","years",7
"people","who","are",7
"pick","up","the",7
"point","of","view",7
"power","of","the",7
"quite","a","few",7
"realized","that","i",7
"said","he","was",7
"said","in","a",7
"seem","to","have",7
"size","of","the",7
"so","excited","to",7
"so","i","dont",7
"so","this","is",7
"someone","who","is",7
"take","care","of",7
"that","all","the",7
"that","can","be",7
"that","i","just",7
"that","i","need",7
"that","is","a",7
"that","no","one",7
"that","she","had",7
"that","was","a",7
"the","ability","to",7
"the","day","i",7
"the","days","of",7
"the","death","of",7
"the","first","day",7
"the","first","two",7
"the","hard","part",7
"the","month","of",7
"the","night","before",7
"the","person","who",7
"the","s","and",7
"the","season","and",7
"the","sound","of",7
"the","state","of",7
"the","subject","of",7
"the","way","of",7
"the","way","the",7
"the","way","they",7
"the","work","of",7
"there","are","many",7
"there","are","plenty",7
"they","want","to",7
"they","wanted","to",7
"they","will","be",7
"thing","is","that",7
"this","is","how",7
"this","week","i",7
"thought","i","was",7
"time","for","the",7
"time","in","the",7
"time","to","get",7
"to","a","place",7
"to","a","small",7
"to","be","done",7
"to","be","on",7
"to","come","back",7
"to","do","and",7
"to","do","i",7
"to","do","this",7
"to","focus","on",7
"to","get","in",7
"to","get","your",7
"to","have","them",7
"to","know","how",7
"to","make","up",7
"to","me","at",7
"to","pay","for",7
"to","read","a",7
"to","say","it",7
"to","the","point",7
"to","watch","the",7
"told","me","that",7
"too","late","to",7
"two","of","the",7
"used","as","a",7
"want","you","to",7
"was","a","bit",7
"was","a","lot",7
"was","just","a",7
"was","looking","for",7
"was","such","a",7
"was","time","to",7
"we","all","know",7
"we","decided","to",7
"we","got","to",7
"we","were","in",7
"what","is","your",7
"when","i","got",7
"when","it","is",7
"when","it","was",7
"when","we","were",7
"when","you","have",7
"which","is","the",7
"which","is","why",7
"who","has","been",7
"why","i","was",7
"will","have","to",7
"will","not","be",7
"with","all","your",7
"would","not","have",7
"you","are","the",7
"you","dont","know",7
"you","had","to",7
"you","have","the",7
"you","like","it",7
"you","may","be",7
"you","might","be",7
"youve","got","a",7
"a","box","of",6
"a","comment","on",6
"a","cup","of",6
"a","day","of",6
"a","fan","of",6
"a","friend","and",6
"a","friend","of",6
"a","glass","of",6
"a","great","job",6
"a","little","while",6
"a","month","and",6
"a","set","of",6
"a","trip","to",6
"a","waste","of",6
"a","woman","who",6
"a","year","ago",6
"about","years","ago",6
"across","the","country",6
"admit","that","i",6
"alcohol","health","res",6
"all","of","those",6
"all","over","again",6
"and","a","bit",6
"and","all","that",6
"and","as","the",6
"and","even","the",6
"and","had","a",6
"and","he","is",6
"and","i","didnt",6
"and","i","thought",6
"and","i","were",6
"and","if","i",6
"and","its","a",6
"and","most","of",6
"and","off","the",6
"and","she","is",6
"and","so","i",6
"and","that","the",6
"and","the","other",6
"and","the","way",6
"and","the","whole",6
"and","then","they",6
"and","to","be",6
"and","with","all",6
"any","of","them",6
"appear","to","be",6
"are","able","to",6
"are","on","the",6
"are","so","many",6
"around","in","the",6
"around","the","corner",6
"as","i","said",6
"as","much","money",6
"as","opposed","to",6
"as","well","and",6
"at","all","the",6
"at","first","i",6
"at","me","and",6
"at","some","point",6
"at","the","right",6
"attention","to","the",6
"back","and","forth",6
"back","at","the",6
"back","into","the",6
"back","on","the",6
"back","to","sleep",6
"back","to","work",6
"be","in","a",6
"be","interested","in",6
"be","the","one",6
"because","he","was",6
"because","i","am",6
"because","they","were",6
"better","than","i",6
"better","than","the",6
"both","of","them",6
"but","at","the",6
"but","i","also",6
"but","i","know",6
"but","i","still",6
"but","if","i",6
"but","its","not",6
"but","there","were",6
"but","this","is",6
"by","a","friend",6
"can","be","done",6
"can","tell","you",6
"click","on","the",6
"comes","down","to",6
"comes","from","the",6
"control","of","the",6
"days","a","week",6
"days","of","the",6
"decided","to","take",6
"despite","the","fact",6
"did","not","have",6
"didnt","seem","to",6
"different","kinds","of",6
"do","it","all",6
"do","with","a",6
"doesnt","mean","that",6
"dont","know","if",6
"due","to","the",6
